п/п;file;field;order;temperature_air;angle;well_bush;start_date_page1;end_date_page1;start_date_page2;end_date_page2;volume_sum_page1;volume_sum_page3;sp_openhole_page1;sp_template_page1;sp_nkt_page1;sp_torp_page1;sp_table_end;km_reloc_1gr;km_reloc_3gr;vm_price;vm_count
1;001068_Ватьеганское_5673_214_80(P)_1064709;Ватьеганское;1064709;-21.04;22;214;27.01.2026 23:00;28.01.2026 08:00;27.01.2026 23:00;28.01.2026 08:00;81.67;81.67;-;-;14.50;-;1450.10;50.00;1.30;-;-
2;001069_Ватьеганское_4866_53_58.239_1065373;Ватьеганское;1065373;-24.68;24.18;53;27.01.2026 16:00;28.01.2026 03:00;27.01.2026 16:00;28.01.2026 03:00;7.00;7;86.16;41.58;-;-;6340.75;83.00;2.40;2422.95;40
3;001074_Повховское_681_28_58.227_1065348;Повховское;1065348;-23.86;39.21;28;27.01.2026 10:00;28.01.2026 11:00;27.01.2026 10:00;28.01.2026 11:00;7.00;7;124.60;62.80;-;375,60;56356.52;173.60;13.60;1448.24;334
4;001075_Ватьеганское_6427_47_53_1065400;Ватьеганское;1065400;-16.89;8.02;47;28.01.2026 11:00;28.01.2026 15:00;28.01.2026 11:00;28.01.2026 15:00;4.00;4;-;-;34.59;-;3459.29;86.20;3.00;-;-
5;001076_Ватьеганское_1770_15_35(S)_1065307;Ватьеганское;1065307;-19.58;39.87;15;27.01.2026 23:00;28.01.2026 15:00;27.01.2026 23:00;28.01.2026 15:00;88.93;88.93;-;-;55.67;-;5567.90;105.80;6.00;-;-
6;001077_Ватьеганское_8846_88_11_1065404;Ватьеганское;1065404;-16.55;41.24;88;28.01.2026 12:00;28.01.2026 17:00;28.01.2026 12:00;28.01.2026 17:00;13.07;13.07;58.76;-;-;-;5875.91;116.00;19.00;-;-
7;001078_Ватьеганское_1930_163_53_1065403;Ватьеганское;1065403;-16.74;36.44;163;28.01.2026 15:00;28.01.2026 19:00;28.01.2026 15:00;28.01.2026 19:00;12.00;12;41.15;-;-;-;4115.25;124.00;0.20;-;-
8;001079_Ватьеганское_9238Г_525_53_1065398;Ватьеганское;1065398;-17.74;92.64;525;28.01.2026 06:00;28.01.2026 14:00;28.01.2026 08:00;28.01.2026 14:00;12.00;12;60.41;-;-;-;6041.93;121.60;2.00;-;-
9;001080_Повховское_1874_209_53_1065436;Повховское;1065436;-16.1;28.26;209;28.01.2026 16:00;28.01.2026 20:00;28.01.2026 16:00;28.01.2026 20:00;4.00;4;63.48;-;-;-;6348.31;200.00;20.20;-;-
10;001081_Повховское_7607_215_58.239_1065362;Повховское;1065362;-20.88;44.41;215;27.01.2026 17:00;29.01.2026 02:00;27.01.2026 17:00;29.01.2026 02:00;7.00;7;142.40;69.80;-;621.00;-;186.40;7.60;1678.67;520
