номер_расценки,норма_времени,стоимость_руб
001,112,3 836.21
005,112,2 618.26
006,152,3 556.90
007,352,8 216.47
008,292,7 175.61
009,0,121.12
010,490,13 302.97
011,0,161.29
012,78,953.52
013,120,3 863.50
014,141,3 297.76
015,96,1 638.39
016,1.7,18.94
017,8,89.12
018,136,2 321.06
022,120,1 707.12
023,120,1 707.12
024,120,1 670.96
025,120,1 689.92
026,120,1 703.83
027,120,1 698.37
028,120,1 432.33
029,120,1 403.09
030,120,3 437.78
031,90,1 282.62
032,140,1 821.42
045,3,183.29
046,3.3,201.00
047,24,1 284.79
048,3.4,154.52
049,4.1,185.10
050,3.4,169.37
051,4.1,203.01
052,15,571.87
053,24,914.99
054,15,637.37
055,24,1 019.79
056,5,359.24
057,7.5,535.86
059,24,1 562.14
060,8.1,359.84
061,15,571.87
062,24,914.99
063,3.7,167.63
064,7.5,245.62
065,15,967.73
066,24,914.99
067,3.7,168.73
069,50,1 921.05
070,24,922.10
073,20,762.49
074,34,1 296.24
075,9.5,229.90
076,17.5,418.45
077,65,1 537.97
078,30,540.28
079,24,432.23
080,9.5,229.90
081,17.5,418.45
082,65,1 537.98
083,30,540.28
084,27.5,495.26
085,9.5,235.44
086,17.5,487.50
087,65,1 410.24
088,30,458.54
089,27.5,422.66
090,13.2,261.31
091,25.2,493.42
092,65,1 263.24
093,30,412.43
094,24,379.02
100,13.2,261.31
101,25.2,493.42
102,65,1 263.24
103,30,413.48
104,27.5,379.02
134,386,43 313.59
139,12,296.16
148,12,245.87
150,50,946.26
151,24,454.21
153,50,946.26
158,27,675.56
159,60,1 501.24
160,336,7 656.31
161,306,8 406.93
162,120,6 391.80
167,3,137.05
168,6,228.75
169,30,1 310.53
170,60,2 627.05
171,60,2 287.48
172,34,1 296.24
173,4.8,234.44
174,6,291.55
175,58,2 503.40
176,34,1 467.51
177,3,133.66
178,6,261.33
179,20,762.49
180,34,1 296.24
181,8,126.54
182,18,286.72
183,5,79.09
184,17,237.40
185,27.5,384.02
186,6,290.71
187,12,575.43
188,5,242.48
189,17,712.19
190,27.5,1 152.07
191,9,436.46
192,18,878.92
193,5,242.48
194,30,1 288.09
195,27.5,1 180.75
196,9,358.80
197,18,723.61
198,5,199.34
199,30,1 029.23
200,27.5,943.46
201,7.4,218.84
202,6,178.57
203,30,696.08
204,24,556.86
205,7,201.34
206,30,401.68
207,38,508.80
208,21,773.70
210,24,465.22
212,0.6,12.05
214,1.1,22.38
215,2.1,44.94
216,3.6,74.02
217,10,180.12
218,30,581.52
219,17,235.02
220,2.21,36.91
221,1.96,32.73
222,4.5,500.98
223,37,640.55
225,109.1,1 826.14
226,59.1,991.17
227,78,1 306.79
228,2.7,59.35
229,125,2 747.73
230,100,2 547.40
231,24,4 764.22
232,92,12 293.04
234,24,2 733.56
239,6,119.01
240,30,572.96
241,15,200.33
242,28,373.94
243,7.5,147.39
244,40,762.11
245,15,200.33
246,28,373.94
247,16.2,311.94
248,60,1 071.33
249,15,183.06
250,28,373.94
251,6.9,124.55
252,15,175.36
253,28,373.94
254,40,868.27
255,50,1 026.40
257,86,1 761.44
258,30,444.36
259,37.5,557.18
260,16,458.31
261,50,1 420.49
262,41.5,943.70
263,16,363.84
264,27.5,625.35
265,6,119.57
266,12,233.61
267,30,403.44
268,38,511.02
269,2.8,59.43
270,6,121.04
271,30,410.77
272,38,520.31
273,34.3,653.89
274,60,1 062.33
275,30,400.30
276,38,507.05
277,6,120.27
278,30,579.26
279,59,1 063.23
280,5,97.64
281,30,406.95
282,38,623.98
283,59,1 090.10
284,4.5,82.72
285,3.2,58.82
286,38,487.28
287,30,384.69
289,59,1 151.79
290,30,308.19
291,38,527.01
292,6.5,125.58
293,43.2,803.41
294,38,490.58
295,3.5,65.12
296,30,387.30
298,12,233.61
299,65,1 241.00
301,3.5,66.53
304,60,2 135.40
305,45,938.00
306,30,458.55
307,38,580.83
308,18,326.76
309,32.4,590.49
310,30,374.85
311,38,474.81
312,158,2 085.35
313,259,3 418.39
314,30,395.95
315,305,4 025.52
316,359,4 738.24
317,15,306.47
318,30,607.41
319,30,435.10
320,24,783.18
326,60,876.68
327,60,494.91
329,60,888.17
330,60,1 807.07
331,60,1 574.90
332,60,1 689.69
333,60,1 307.67
335,60,1 310.89
336,60,2 577.99
337,60,2 135.40
338,60,735.47
339,60,576.40
340,60,953.07
341,60,2 343.90
346,1.18,49.98
347,1.70,71.94
348,2.70,78.01
349,1.50,64.57
350,1.50,92.71
351,1.50,65.16
352,1.00,15.51
353,3.20,92.45
354,1.65,31.79
355,1.25,25.11
356,1.60,40.63
357,0.85,20.19
358,1.22,26.37
359,1.18,18.21
360,1.18,67.92
361,1.45,28.45
362,23.16,325.77
363,15.85,222.94
364,20.00,281.32
365,3.30,103.55
366,1.70,24.37
367,2.00,87.14
368,1.60,61.52
369,1.90,71.19
370,2.50,89.27
371,3.50,115.28
372,1.60,45.75
373,1.90,52.45
374,2.50,64.62
375,3.50,85.79
376,1.60,42.90
377,1.90,49.07
378,2.50,60.17
379,3.50,42.90
380,1.60,38.66
381,1.90,43.84
382,2.50,52.89
383,3.50,69.01
384,1.60,41.74
385,1.90,47.49
386,2.50,57.69
387,3.50,75.74
388,1.60,24.02
389,1.90,27.34
390,2.50,33.26
391,3.50,43.71
392,1.60,43.53
393,1.90,50.52
394,2.50,63.75
395,3.50,86.40
396,1.60,26.24
397,1.90,29.98
398,2.50,36.74
399,3.50,48.57
400,1.60,19.40
401,1.90,21.81
402,2.50,26.05
403,3.50,33.61
405,10,163.70
416,1.60,22.21
417,1.90,25.21
418,2.50,30.41
419,3.50,39.71
424,96,1 173.56
425,60,1 307.67
426,60,750.25
427,3,87.59
428,6,169.19
429,20,419.55
430,34,713.23
431,30,822.04
447,6,445.51
448,12,882.30
449,27.5,1 909.81
450,1.30,103.36
451,60,3 497.61
452,28,1 485.24
453,1,77.34
454,60,211.11
455,2,9.24
456,2,10.45
457,2.5,12.57
458,3.50,16.34
463,163,13 409.76
464,60,10 156.06
465,60,5 108.78
466,4,503.16
467,15,978.84
468,30,1 616.09
469,17,810.40
470,50,2 292.16
471,60,2 830.51
472,16,729.75
473,30,1 310.60
474,120,6 142.61
475,120,5 720.45
476,120,5 455.38
477,120,5 592.21
478,1.6,160.30
479,1.9,185.49
480,2.5,233.07
481,3.5,314.60
482,1367,"229 968,81"
483,90,10 790.83
484,16,1 918.37
485,14,1 608.20
486,1.1,131.89
487,50,2 506.63
488,15,751.99
489,24,1 092.20
490,1.18,59.16
491,-,178 732.08
0721,30,1 813.98
0722,30,1 316.52
1000,,1 456.00
1000,,1 456.00
1002,,364 000.00
1002,,364 000.00
1003,,728.00
1003,,728.00
1004,,312 043.00
1004,,312 043.00
1005,,312 043.00
1005,,312 043.00
1006,,312 043.00
1006,,312 043.00
1007,,312 043.00
1007,,312 043.00
1008,,468 000.00
1008,,468 000.00
1010,,182 000.00
1010,,182 000.00
1017,,1 140 000.00
1017,,1 140 000.00
1018,,6 900.00
1018,,6 900.00
1025,,450 000.00
1025,,450 000.00
1026,,600 000.00
1026,,600 000.00
1027,,420 000.00
1027,,420 000.00
1028,,1 100.00
1028,,1 100.00
1029,,450 000.00
1029,,450 000.00
1030,,450 000.00
1030,,450 000.00
1032,,420 000.00
1032,,420 000.00
1033,,950 000.00
1033,,950 000.00
1043,,450 000.00
1043,,450 000.00
1044,,450 000.00
1045,,582.40
1046,,509.60
1100,,54 216.75
1100,,53 896.00
1101,,35 317.05
1101,,53 896.00
1102,,34 900.00
1102,,25 350.00
1103,,25 348.25
1104,,29 947.50
1105,,121 850.00
1105,,121 850.00
1120,,2 900.00
1120,,2 623.40
1121,,2 000.00
1121,,1 836.38
1123,,49 331.60
1123,,49 331.60
1124,,44 585.10
1124,,44 585.10
1140,,29 064.00
1160,,1 260 000.00
1160,,1 260 000.00
1161,,600 000.00
1161,,600 000.00
1300,,450 000.00
1300,,400 000.00
1301,,850 000.00
1301,,800 000.00
1302,,1 200 000.00
1302,,1 200 000.00
1303,,150 000.00
1303,,150 000.00
1304,,525 000.00
1304,,525 000.00
1305,,810 000.00
1305,,811 311.15
1306,,659 000.00
1306,,659 190.68
1307,,190 000.00
1307,,190 125.00
1308,,416 057.00
1308,,416 057.00
1309,,400 500.00
1309,,400 584.60
1310,,350 000.00
1310,,341 250.00
1311,,307 125.00
1311,,307 125.00
1312,,315 000.00
1312,,307 125.00
1313,,260 036.00
1313,,260 036.00
1314,,213 000.00
1314,,212 969.25
1315,,357 115.50
1315,,357 503.25
1316,,31 500.00
1316,,30 712.50
1317,,315 000.00
1317,,315 000.00
1321,,321 000.00
1321,,312 975.00
1322,,497 000.00
1322,,497 000.00
1323,,321 000.00
1323,,312 975.00
1324,,497 000.00
1324,,497 000.00
1325,,1 024 000.00
1325,,1 024 000.00
1326,,825 000.00
1330,,315 000.00
1330,,350 000.00
1331,,150 000.00
1331,,150 000.00
1332,,550 000.00
1332,,860 000.00
1333,,1 200 000.00
1334,,40 000.00
1335,,25 000.00
1336,,350 000.00
1336,,350 000.00
1337,,522 500.00
1337,,522 500.00
1338,,400 000.00
1338,,390 000.00
1339,,400 000.00
1340,,300 000.00
1340,,300 000.00
1341,,44 000.00
1347,,588 000.00
1350,,2 000 000.00
1351,,1 500 000.00
1352,,390 000.00
1353,,560 000.00
1400,,608 400.00
1400,,608 482.88
1401,,5 100.00
1401,,5 108.78
1402,,175 500.00
1402,,175 500.00
1403,,280 800.00
1403,,280 800.00
1407,,650 000.00
1407,,650 000.00
1408,,120 000.00
1408,,120 000.00
1409,,5 075.00
1409,,2 075.00
1411,,536 000.00
1411,,522 600.00
1412,,4 100.47
1412,,4 100.47
1600,,40.78
1600,,40.78
1601,,73.41
1601,,73.41
1602,,89.72
1602,,89.72
1603,,163.13
1603,,163.13
1604,,244.70
1604,,244.70
1605,,326.27
1605,,326.27
1606,,184.52
1606,,184.52
1607,,200.84
1607,,200.84
1608,,72.65
1608,,72.65
1609,,88.96
1609,,88.96
1610,,202.19
1610,,202.19
1611,,397.48
1611,,397.48
1612,,491.49
1612,,491.49
1613,,952.81
1613,,952.81
1614,,1 871.22
1614,,1 871.22
1615,,1 886.12
1615,,1 886.12
1616,,82.10
1616,,82.10
1617,,157.30
1617,,157.30
1618,,193.08
1618,,193.08
1619,,356.04
1619,,356.04
1620,,677.75
1620,,677.75
1621,,692.63
1621,,692.63
1622,,120.00
1622,,120.00
1629,,400 000.00
1634,,200 000.00
1634,,"200 000,00"
1635,,150 000.00
1635,,"150 000,00"
1636,,300 000.00
1636,,"300 000,00"
1637,,200 000.00
1637,,"200 000,00"
1638,,300 000.00
1638,,480 000.00
1639,,200 000.00
1640,,40 000.00
1641,,60 000.00
1642,,90 000.00
1650,,2 145.00
1650,,1 600.00
1651,,3 781.91
1651,,3 781.91
1653,,2 071.00
1653,,3 345.14
1654,,10 000.00
1654,,10 000.00
1655,,6 300.00
1655,,6 300.00
1658,,398 400.00
1658,,398 400.00
1659,,16 600.00
1659,,16 600.00
1660,,137 000.00
1660,,137 000.00
1661,,355 200.00
1661,,355 200.00
1662,,554 400.00
1662,,554 400.00
1663,,2 422.00
1663,,2 422.00
1664,,4 387.50
1664,,4 387.50
1667,,24 500.00
1667,,24 500.00
1668,,2 071.00
1668,,2 071.00
1671,,700 000.00
1671,,700 000.00
1672,,1 800.00
1672,,1 800.00
1673,,525 000.00
1673,,525 000.00
1675,,150 000.00
1675,,150 000.00
1678,,6 600.00
1678,,6 600.00
1680,,43 200.00
1682,,43 200.00
1740,15,716.89
1741,30,1 433.77
1761,4.8,289.86
1762,6,360.82
1763,30,1 780.11
1764,58,3 172.97
1765,34,1 860.02
1766,15,981.87
1800,,303 535.58
1801,,253 354.38
1806,,191 100.00
1807,,156 000.00
1807,,156 000.00
1813,,400 000.00
1813,,500 000.00
1818,,350 000.00
1818,,350 000.00
1819,,38.66
1819,,38.66
1820,,61.52
1820,,61.52
1821,,38.66
1821,,38.66
1825,,91 500.00
1825,,91 500.00
1826,,67.67
1826,,67.67
1830,,125 000.00
1830,,125 000.00
1831,,125 000.00
1831,,125 000.00
1832,,200 000.00
1836,,52.47
1836,,52.47
1837,,3 500.00
1837,,3 500.00
1838,,950.00
1838,,950.00
1839,,111 618.00
1841,,49 478.13
1841,,49 478.13
1845,,160.30
1845,,160.30
1846,,215 000.00
1856,,125 000.00
1859,,115.50
1861,,205 000.00
1868,,24.50
1900,,700 000.00
1900,,700 000.00
1901,,1 850 000.00
1901,,1 850 000.00
1902,,700 000.00
1902,,682 500.00
1903,,504 340.00
1903,,491 731.50
1908,,720 000.00
1908,,702 000.00
1909,,30 000.00
1909,,29 250.00
1910,,590 400.00
1910,,575 640.00
1911,,950 400.00
1911,,926 640.00
1914,,9 900.00
1914,,9 652.50
2002,,420 000.00
2002,,416 821.02
2003,,335 000.00
2003,,331 791.19
2831,11.8,222.44
2832,5.9,113.98
2833,3.9,77.22
2834,3,60.67
3020,,675.56
3020,,675.56
3023,,89 999.20
3023,,89 999.20
3050,,150 000.00
3051,,45 000.00
3051,,45 000.00
3056,,18 000.00
3056,,18 000.00
3061,,10 500.00
3061,,8 600.00
3062,,14 900.00
3062,,12 000.00
3210,,1 967 187.00
3219,,467.60
3219,,467.60
3220,,1 031.80
3220,,1 031.80
3221,,146.80
3221,,146.80
3222,,146.80
3222,,146.80
3223,,146.80
3223,,146.80
3224,,429.60
3224,,429.60
3225,,138.00
3225,,138.00
3226,,585.00
3226,,585.00
3227,,1 014.00
3227,,1 014.00
3228,,688.00
3228,,688.00
3229,,688.00
3229,,688.00
3230,,488.00
3230,,488.00
3231,,1 456.00
3231,,1 456.00
3232,,198 000.00
3232,,198 000.00
3233,,52 272.00
3233,,52 272.00
3234,,65 340.00
3234,,65 340.00
3235,,130 680.00
3235,,130 680.00
3236,,10 296.00
3237,,21 780.00
3237,,21 780.00
3238,,65 340.00
3238,,65 340.00
3239,,825 148.00
3239,,825 148.00
3273,,17 500 000.00
3274,,460 000.00
3275,,563 500.00
3276,,40 250.00
3277,,356 500.00
3278,,253 000.00
3279,,500 000.00
3280,,500 000.00
3281,,210 000.00
3282,,680 000.00
3282,,680 000.00
3284,,815.00
3285,,910.00
3304,,524 000.00
3305,,69 000.00
3581,1.94,38.39
3582,2.30,44.41
3671,2.29,42.48
3672,3.78,67.36
3673,2.86,52.00
3674,1,43.57
5020,,9 800 000.00
5021,,3 200 000.00
6041,,250 000.00
6059,,520 000.00
6060,,650 000.00
